openbeta_id,source_name,source_type,source_grade,source_path,source_crag,latitude,longitude,namesake_count_same_country_state,nearest_namesake_id,nearest_namesake_name,nearest_namesake_path,nearest_namesake_crag,nearest_namesake_latitude,nearest_namesake_longitude,nearest_namesake_distance_km,non_generic_name,named_source_and_namesake_crags,all_namesake_crags_distinct,no_cross_level_area_alias,all_namesake_gps_present,all_namesakes_over_20km,no_exact_named_bb_candidate,non_generic_feature_name,non_placeholder_or_descriptive_name
19f6ee30-5088-5f55-b977-6bd18c5a70cc,Barracuda,sport,5.12b,United States > Arizona > Northern Arizona > Flagstaff Area > Mt. Elden Crags,Mt. Elden Crags,35.23893,-111.62114,1,0f3e6c8e-0d25-5f08-a636-68ee8726563e,Barracuda,United States > Arizona > Northern Arizona > Winslow- Hwy’s 87 & 99 Corridors > East Clear Creek,East Clear Creek,34.94209,-110.6632,93.198,True,True,True,True,True,True,True,True,True
19f97660-3075-5b8d-86a7-b2ba137abb4b,Rumble Strip,sport,5.8-,United States > Utah > Wasatch Range > Southern Wasatch > Spanish Fork Canyon,Spanish Fork Canyon,40.0573,-111.5614,1,60e0c53c-03b2-563d-8da2-84e77c62360b,Rumble Strip,United States > Utah > Wasatch Range > Central Wasatch > Parley's Canyon,Parley's Canyon,40.71094,-111.78952,75.206,True,True,True,True,True,True,True,True,True
1a71d654-7f74-5d12-a907-16af1d124bc5,Loan Shark,boulder,V6+,United States > Massachusetts > North Shore > Cape Ann > Agassiz Rock Reservation,Agassiz Rock Reservation,42.55555,-70.70181,1,53f8d8a7-d391-5689-acac-b12d8995e5a3,Loanshark,United States > Massachusetts > North Shore > Lynn Woods > Stone Tower Area,Stone Tower Area,42.48601,-70.98521,24.479,True,True,True,True,True,True,True,True,True
1ab707a7-f78c-5c01-92c7-ec592807cd60,Around The World,boulder,V1-2,United States > California > San Diego County > North San Diego County > Rancho Penasquitos Canyon,Rancho Penasquitos Canyon,32.92749,-117.17738,2,6697a479-1642-5fc8-8287-08df39c12af4,Around the World,United States > California > San Diego County > San Diego County Desert Area > Culp Valley,Culp Valley,33.2162,-116.4596,74.188,True,True,True,True,True,True,True,True,True
1afb489a-463a-5305-a67b-72686c756338,Slab Happy,sport,5.6,United States > Colorado > South Platte > Elevenmile Canyon > Elevenmile Dome,Elevenmile Dome,38.94534,-105.39205,9,a0a8e195-db28-5e8e-b440-6c4c4781ab4d,Slab Happy,United States > Colorado > South Platte > Devil's Head > Devil's Gate Sector,Devil's Gate Sector,39.25648,-105.09617,42.998,True,True,True,True,True,True,True,True,True
1b7a7f54-ba0d-5fda-8221-0cabfeb8285a,Happy Hour,boulder,V6,United States > Massachusetts > North Shore > Lynn Woods > Greater Lynn Woods Area,Greater Lynn Woods Area,42.50997,-71.02564,1,0b095eaf-01c5-5f82-aaf4-5d984212c872,Happy Hour,United States > Massachusetts > North Shore > Cape Ann > Dyke's Pond (Gloucester),Dyke's Pond (Gloucester),42.61678,-70.73892,26.315,True,True,True,True,True,True,True,True,True
1ca981f2-b492-54e2-9810-4be4d4ea5954,Tree Hug,boulder,V3,United States > Virginia > Southwest Virginia (Appalachia) > High Knob Landform > HKL West,HKL West,36.91727,-82.64656,1,ab2dd16b-6218-50c3-8876-bee6b4bced76,Tree Hug,United States > Virginia > Southwest Virginia (Appalachia) > Bluefield Boulders > Main Boulder Area,Main Boulder Area,36.65847,-81.53778,102.846,True,True,True,True,True,True,True,True,True
1e3e1381-0293-5a78-b5e4-6af2fe3ce7c2,Strawberry Fields,sport,5.7+,United States > Utah > Wasatch Range > Southern Wasatch > American Fork Canyon,American Fork Canyon,40.44649,-111.68579,1,75d647f2-788c-5a19-9af3-7fed2dae9274,Strawberry Fields,United States > Utah > Wasatch Range > Southern Wasatch > Santaquin Canyon,Santaquin Canyon,39.9046,-111.7325,60.386,True,True,True,True,True,True,True,True,True
1e9f71ce-bfcc-5b27-8cd2-d46fda99d938,Scrubs,sport,5.9,United States > Arizona > Northern Arizona > Winslow- Hwy’s 87 & 99 Corridors > Powerline Crag,Powerline Crag,34.5549,-111.1952,1,4ac3bc42-7e74-53c3-b30c-6cd3606e6e8c,Scrubs,United States > Arizona > Northern Arizona > Oak Creek Canyon > Cave Springs,Cave Springs,35.00043,-111.7416,70.318,True,True,True,True,True,True,True,True,True
1eef4e65-69d3-5a10-8957-22b97bf30500,Lion's Den,trad,5.10,United States > Arizona > Central Arizona > **Phoenix Areas > Superstition Mountains,Superstition Mountains,33.41155,-111.35051,1,4bd17bb5-10fc-58b9-804c-137870db28f2,Lion's Den,United States > Arizona > Central Arizona > **Prescott Area > Granite Dells,Granite Dells,34.5924,-112.40996,163.64,True,True,True,True,True,True,True,True,True
